lbl.module.caption.About;About;en
lbl.menu.aboutUs;About Us;en
lbl.accept;Accept;en
lbl.general.accept;Accept;en
lbl.admin.accessDecisionPolicy;Access Decision Policy;en
lbl.menu.accordion;Accordion;en
lbl.Account;Account;en
lbl.accountStatusReport.Account;Account;en
lbl.accountTxnReport.Account;Account;en
lbl.bankToAccountTransfer.Account;Account;en
lbl.cheque.Account;Account;en
lbl.chequeStub.Account;Account;en
lbl.collection.Account;Account;en
lbl.contact.Account;Account;en
lbl.expenseNote.Account;Account;en
lbl.general.Account;Account;en
lbl.object.account;Account;en
lbl.menu.accountBank.Account;Account;en
lbl.menu.generalSettings.browse.Account;Account;en
lbl.menu.report.Account;Account;en
lbl.module.caption.Account;Account;en
lbl.optionEditor.default.Account;Account;en
lbl.optionEditor.organizationLevelOption.value.Account;Account;en
lbl.payment.Account;Account;en
lbl.permission.account;Account;en
lbl.promissory.Account;Account;en
lbl.saleInvoice.Account;Account;en
lbl.permission.account/bank;Account/bank;en
lbl.menu.main.AccountBank;Account Bank;en
lbl.msg.contact.accountCodeAlreadyRegister;Account Code Already Register;en
lbl.AccountCodeRequired;Account Code Required;en
lbl.general.value.DocumentType.AccountCreditNote;Account Credit Note;en
lbl.menu.accountBank.new.AccountCreditNote;Account Credit Note;en
lbl.module.caption.AccountCreditNote;Account Credit Note;en
lbl.permission.accountCreditNote;Account Credit Note;en
lbl.menu.accountBank.browse.AccountCreditNoteBrowse;Account Credit Note Browse;en
lbl.module.caption.AccountCreditNoteBrowse;Account Credit Note Browse;en
lbl.module.caption.AccountCreditNoteView;Account Credit Note View;en
lbl.Accounting;Accounting;en
lbl.menu.accounting;Accounting;en
lbl.AccountingDocuments;Accounting Documents;en
lbl.AccountingPeriod;Accounting Period;en
lbl.optionEditor.systemSettings.control.AccountLevel;Account Level;en
lbl.accountStatusReport.caption.AccountList;Account List;en
lbl.contact.AccountManager;Account Manager;en
lbl.AccountNameRequired;Account Name Required;en
lbl.bankAccount.AccountNo;Account No;en
lbl.AccountPayable;Account Payable;en
lbl.menu.accountPayable;Account Payable;en
lbl.accountPayableRequired;Account Payable Required;en
lbl.AccountReceivable;Account Receivable;en
lbl.accountReceivableRequired;Account Receivable Required;en
lbl.AccountRequired;Account Required;en
lbl.Accounts;Accounts;en
lbl.AccountsAdminAccess;Accounts Admin Access;en
lbl.accountsPayable;Accounts Payable;en
lbl.accountsReceivable;Accounts Receivable;en
lbl.menu.accountsReceivable;Accounts Receivable;en
lbl.menu.report.account.AccountStatusReport;Account Status Report;en
lbl.module.caption.AccountStatusReport;Account Status Report;en
lbl.permission.accountStatusReport;Account Status Report;en
lbl.general.value.DocumentType.AccountToBankTransfer;Account To Bank Transfer;en
lbl.menu.accountBank.new.AccountToBankTransfer;Account To Bank Transfer;en
lbl.module.caption.AccountToBankTransfer;Account To Bank Transfer;en
lbl.permission.accountToBankTransfer;Account To Bank Transfer;en
lbl.menu.accountBank.browse.AccountToBankTransferBrowse;Account To Bank Transfer Browse;en
lbl.module.caption.AccountToBankTransferBrowse;Account To Bank Transfer Browse;en
lbl.menu.report.account.AccountTxnReport;Account Txn Report;en
lbl.module.caption.AccountTxnReport;Account Txn Report;en
lbl.permission.accountTxnReport;Account Txn Report;en
lbl.general.AccountType;Account Type;en
lbl.AccountTypeRequired;Account Type Required;en
lbl.accountTxnReport.Action;Action;en
lbl.bankToAccountTransfer.Action;Action;en
lbl.bankToContactTransfer.Action;Action;en
lbl.bankTxnReport.Action;Action;en
lbl.contactToBankTransfer.Action;Action;en
lbl.financeTxnReport.Action;Action;en
lbl.productTxnReport.Action;Action;en
lbl.serviceTxnReport.Action;Action;en
lbl.taxTxnReport.Action;Action;en
lbl.financePage.caption.Actions;Actions;en
lbl.financePage.desc.Actions;Actions;en
lbl.stockPage.desc.Actions;Actions;en
lbl.transportPage.caption.Actions;Actions;en
lbl.transportPage.desc.Actions;Actions;en
lbl.general.activateTheFixedLayout;Activate The Fixed Layout;en
lbl.account.Active;Active;en
lbl.accountTxnReport.Active;Active;en
lbl.Active;Active;en
lbl.bank.Active;Active;en
lbl.bankaccount.Active;Active;en
lbl.bankAccount.Active;Active;en
lbl.bankBranch.Active;Active;en
lbl.bankToAccountTransfer.Active;Active;en
lbl.bankToBankTransfer.Active;Active;en
lbl.bankToContactTransfer.Active;Active;en
lbl.bondPurchase.Active;Active;en
lbl.bondSale.Active;Active;en
lbl.chequeToBankPayroll.Active;Active;en
lbl.chequeToContactPayroll.Active;Active;en
lbl.city.Active;Active;en
lbl.collection.Active;Active;en
lbl.contact.Active;Active;en
lbl.contactCategory.Active;Active;en
lbl.contactDocument.Active;Active;en
lbl.contactToBankTransfer.Active;Active;en
lbl.country.Active;Active;en
lbl.currency.Active;Active;en
lbl.currencyPair.Active;Active;en
lbl.debitCreditNote.Active;Active;en
lbl.debitCreditVirement.Active;Active;en
lbl.department.Active;Active;en
lbl.depositAccount.Active;Active;en
lbl.depreciation.Active;Active;en
lbl.document.Active;Active;en
lbl.employee.Active;Active;en
lbl.expenseNote.Active;Active;en
lbl.financeTxnReport.Active;Active;en
lbl.firmDocument.Active;Active;en
lbl.followUp.Active;Active;en
